epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,40.9652,1.56323,2.0955,0.96165,0.01114,0.71429,0.01315,0.00462,1.76144,4.08519,1.09683,0.00040605,0.00040605,0.00040605
43,41.9092,1.50068,1.72843,0.99278,0.01089,0.71429,0.01371,0.0066,1.60075,4.01737,1.05792,0.000409022,0.000409022,0.000409022
44,42.8089,1.53202,2.44627,0.90786,0.01089,0.71429,0.01371,0.0066,1.60075,4.01737,1.05792,0.000411664,0.000411664,0.000411664
45,43.7487,1.62674,1.5167,1.10731,0.01059,0.71429,0.01375,0.00763,1.46706,3.9714,1.01291,0.000413976,0.000413976,0.000413976
46,44.6695,1.29531,2.31296,1.02569,0.01059,0.71429,0.01375,0.00763,1.46706,3.9714,1.01291,0.000415958,0.000415958,0.000415958
47,46.455,1.51084,2.097,0.95148,0.01296,0.85714,0.01914,0.00971,1.4285,4.00918,1.00132,0.00041761,0.00041761,0.00041761
48,47.4974,1.305,1.88256,0.85002,0.01296,0.85714,0.01914,0.00971,1.4285,4.00918,1.00132,0.000418932,0.000418932,0.000418932
49,48.5394,1.47004,1.66458,1.02911,0.0108,0.71429,0.01333,0.00807,1.41572,4.09675,0.99047,0.000419924,0.000419924,0.000419924
50,49.6348,1.12904,1.60131,0.96115,0.0108,0.71429,0.01333,0.00807,1.41572,4.09675,0.99047,0.000420586,0.000420586,0.000420586
51,50.658,1.27611,1.74043,0.90158,0.01121,0.71429,0.0132,0.00865,1.35676,3.96293,0.97822,0.000420918,0.000420918,0.000420918
52,51.6242,1.35908,1.71631,0.92583,0.01121,0.71429,0.0132,0.00865,1.35676,3.96293,0.97822,0.000420919,0.000420919,0.000420919
53,52.5865,1.4892,2.77995,1.07945,0.01121,0.71429,0.0132,0.00865,1.35676,3.96293,0.97822,0.000420591,0.000420591,0.000420591
54,53.5718,1.31127,1.83374,0.85148,0.01357,0.85714,0.02268,0.00993,1.31801,3.77504,0.96745,0.000419932,0.000419932,0.000419932
55,54.5162,1.52572,1.67537,0.84378,0.01357,0.85714,0.02268,0.00993,1.31801,3.77504,0.96745,0.000418944,0.000418944,0.000418944
56,55.491,1.42886,1.89073,0.90459,0.01357,0.85714,0.02268,0.00993,1.31801,3.77504,0.96745,0.000417625,0.000417625,0.000417625
57,56.4367,1.19115,1.89272,0.88046,0.01136,0.71429,0.05449,0.01557,1.32354,3.64264,0.95378,0.000415977,0.000415977,0.000415977
58,57.3542,1.31372,1.64042,0.97721,0.01136,0.71429,0.05449,0.01557,1.32354,3.64264,0.95378,0.000413998,0.000413998,0.000413998
59,58.3043,1.29722,1.6307,0.95505,0.01136,0.71429,0.05449,0.01557,1.32354,3.64264,0.95378,0.000411689,0.000411689,0.000411689
60,59.2882,1.19295,1.6063,0.86211,0.01367,0.85714,0.1086,0.0543,1.31483,3.5349,0.95039,0.00040905,0.00040905,0.00040905
61,60.2266,1.0566,1.36261,0.77239,0.01367,0.85714,0.1086,0.0543,1.31483,3.5349,0.95039,0.000406081,0.000406081,0.000406081
62,61.1806,1.13563,1.70239,0.92636,0.01367,0.85714,0.1086,0.0543,1.31483,3.5349,0.95039,0.000402782,0.000402782,0.000402782
63,62.1949,1.36263,2.24785,0.89663,0.01549,1,0.21394,0.09997,1.31454,3.56806,0.95362,0.000399153,0.000399153,0.000399153
64,63.1545,1.27774,1.6709,0.90329,0.01549,1,0.21394,0.09997,1.31454,3.56806,0.95362,0.000395194,0.000395194,0.000395194
65,64.109,0.97706,1.52701,0.98544,0.01549,1,0.21394,0.09997,1.31454,3.56806,0.95362,0.000390905,0.000390905,0.000390905
66,65.0794,1.38455,2.57454,0.86576,0.01525,1,0.26,0.13547,1.33829,3.54659,0.95235,0.000386286,0.000386286,0.000386286
67,66.0478,1.10905,1.64021,0.88638,0.01525,1,0.26,0.13547,1.33829,3.54659,0.95235,0.000381336,0.000381336,0.000381336
68,66.9865,1.21022,1.39713,0.84743,0.01525,1,0.26,0.13547,1.33829,3.54659,0.95235,0.000376057,0.000376057,0.000376057
69,67.9372,1.25912,1.54694,0.79932,0.01429,1,0.32021,0.17397,1.22093,3.3874,0.96176,0.000370447,0.000370447,0.000370447
70,68.857,1.19993,1.4326,0.96107,0.01429,1,0.32021,0.17397,1.22093,3.3874,0.96176,0.000364508,0.000364508,0.000364508
71,69.7839,1.42456,1.82507,0.88355,0.01429,1,0.32021,0.17397,1.22093,3.3874,0.96176,0.000358238,0.000358238,0.000358238
72,70.7398,1.36387,1.88013,0.84637,0.01381,1,0.52208,0.21535,1.20677,3.19595,0.97076,0.000351639,0.000351639,0.000351639
73,71.6795,1.24166,1.32172,1.00537,0.01381,1,0.52208,0.21535,1.20677,3.19595,0.97076,0.000344709,0.000344709,0.000344709
74,72.647,1.22366,1.52483,0.89825,0.01381,1,0.52208,0.21535,1.20677,3.19595,0.97076,0.000337449,0.000337449,0.000337449
75,73.6567,1.05608,1.76798,0.84937,0.01139,0.85714,0.47174,0.24235,1.16487,3.13474,0.971,0.000329859,0.000329859,0.000329859
76,74.5938,1.33288,1.70852,0.86576,0.01139,0.85714,0.47174,0.24235,1.16487,3.13474,0.971,0.000321939,0.000321939,0.000321939
77,75.5951,1.11983,1.50745,0.91708,0.01139,0.85714,0.47174,0.24235,1.16487,3.13474,0.971,0.000313689,0.000313689,0.000313689
78,76.6489,1.26154,1.62997,0.90654,0.00917,0.71429,0.45807,0.31921,1.18709,3.04764,0.92567,0.000305109,0.000305109,0.000305109
79,77.6688,1.12914,1.73641,0.98468,0.00917,0.71429,0.45807,0.31921,1.18709,3.04764,0.92567,0.000296199,0.000296199,0.000296199
80,78.6719,1.14619,1.20728,0.80499,0.00917,0.71429,0.45807,0.31921,1.18709,3.04764,0.92567,0.000286959,0.000286959,0.000286959
81,79.7258,1.43694,1.6428,0.9028,0.01058,0.85714,0.6945,0.38787,1.23177,2.93102,0.93346,0.000277389,0.000277389,0.000277389
82,80.7948,1.32855,1.44763,0.90873,0.01058,0.85714,0.6945,0.38787,1.23177,2.93102,0.93346,0.000267488,0.000267488,0.000267488
83,81.9403,1.20708,1.46755,0.86448,0.01058,0.85714,0.6945,0.38787,1.23177,2.93102,0.93346,0.000257258,0.000257258,0.000257258
84,82.9317,1.15851,1.13758,0.93145,0.01043,0.85714,0.71783,0.44978,1.29333,2.90189,0.92738,0.000246698,0.000246698,0.000246698
85,83.9217,1.53896,2.08055,0.96166,0.01043,0.85714,0.71783,0.44978,1.29333,2.90189,0.92738,0.000235807,0.000235807,0.000235807
86,84.8503,1.14289,1.59772,0.95301,0.01043,0.85714,0.71783,0.44978,1.29333,2.90189,0.92738,0.000224587,0.000224587,0.000224587
87,85.7899,1.40726,1.67811,0.83753,0.01043,0.85714,0.71783,0.44978,1.29333,2.90189,0.92738,0.000213036,0.000213036,0.000213036
88,86.7543,1.5173,1.519,0.86802,0.0102,0.85714,0.71777,0.42429,1.28137,2.80961,0.92667,0.000201155,0.000201155,0.000201155
