epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,68.0538,1.70566,2.02724,1.69815,0.14391,0.26829,0.12017,0.0549,1.85248,4.11016,1.70471,0.000308522,0.000308522,0.000308522
21,71.8983,2.07192,2.39737,1.89085,0.25576,0.14634,0.10922,0.05579,1.81676,3.50259,1.67677,0.0003208,0.0003208,0.0003208
22,75.6606,1.51405,1.85283,1.63434,0.25576,0.14634,0.10922,0.05579,1.81676,3.50259,1.67677,0.000332682,0.000332682,0.000332682
23,79.6233,1.81422,1.85685,1.62786,0.5851,0.19512,0.21954,0.10892,1.64657,2.66341,1.50852,0.000344168,0.000344168,0.000344168
24,82.3687,1.60195,1.96298,1.60707,0.5851,0.19512,0.21954,0.10892,1.64657,2.66341,1.50852,0.000355258,0.000355258,0.000355258
25,85.334,1.38661,1.7613,1.69353,0.32321,0.27972,0.19729,0.12626,1.53851,3.11733,1.46387,0.000365952,0.000365952,0.000365952
26,88.5999,1.5434,1.92663,1.69939,0.32321,0.27972,0.19729,0.12626,1.53851,3.11733,1.46387,0.00037625,0.00037625,0.00037625
27,91.3996,1.40725,1.66335,1.42565,0.71638,0.26829,0.27525,0.13402,1.64502,2.18656,1.59976,0.000386152,0.000386152,0.000386152
28,94.0919,1.57143,1.85784,1.69332,0.71638,0.26829,0.27525,0.13402,1.64502,2.18656,1.59976,0.000395658,0.000395658,0.000395658
29,97.3184,1.63543,1.54929,1.60031,0.58917,0.29268,0.29829,0.14227,1.64147,2.80343,1.59152,0.000404768,0.000404768,0.000404768
30,100.019,1.27129,1.9231,1.66748,0.58917,0.29268,0.29829,0.14227,1.64147,2.80343,1.59152,0.000413482,0.000413482,0.000413482
31,102.775,1.4856,1.73583,1.52669,0.64938,0.34146,0.36438,0.18963,1.62802,2.43744,1.57214,0.0004218,0.0004218,0.0004218
32,105.731,1.75975,1.83261,1.44174,0.64938,0.34146,0.36438,0.18963,1.62802,2.43744,1.57214,0.000429722,0.000429722,0.000429722
33,108.879,1.63874,1.54657,1.45004,0.71487,0.31707,0.35498,0.17327,1.66456,1.59369,1.60472,0.000437248,0.000437248,0.000437248
34,112.151,1.61226,1.73472,1.74547,0.71487,0.31707,0.35498,0.17327,1.66456,1.59369,1.60472,0.000444378,0.000444378,0.000444378
35,116.529,1.60507,1.50198,1.6134,0.69023,0.34146,0.35964,0.19533,1.68655,1.70433,1.56443,0.000451112,0.000451112,0.000451112
36,119.399,1.49125,1.57615,1.51553,0.69023,0.34146,0.35964,0.19533,1.68655,1.70433,1.56443,0.00045745,0.00045745,0.00045745
37,123.138,1.40922,1.50037,1.50823,0.67892,0.29268,0.32411,0.15568,1.76179,2.44041,1.72692,0.000463392,0.000463392,0.000463392
38,126.448,1.36584,1.18593,1.37724,0.67892,0.29268,0.32411,0.15568,1.76179,2.44041,1.72692,0.000468938,0.000468938,0.000468938
39,129.158,1.27379,1.34831,1.34083,0.43772,0.36585,0.31894,0.17389,1.76327,2.31711,1.66125,0.000474088,0.000474088,0.000474088
40,132.713,1.4486,1.4371,1.60191,0.43772,0.36585,0.31894,0.17389,1.76327,2.31711,1.66125,0.000478842,0.000478842,0.000478842
41,135.542,1.48158,1.31466,1.52472,0.64294,0.35161,0.32491,0.1779,1.67075,3.0604,1.5142,0.0004832,0.0004832,0.0004832
42,139.433,1.36879,1.44953,1.61547,0.64294,0.35161,0.32491,0.1779,1.67075,3.0604,1.5142,0.000487162,0.000487162,0.000487162
43,142.1,1.31888,1.48897,1.3564,0.40037,0.21951,0.27144,0.13003,1.73445,6.92464,1.60262,0.000490728,0.000490728,0.000490728
