epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,16.135,0.93418,0.86186,0.92084,0.01,1,0.90762,0.54395,1.27163,2.60534,1.04175,0.0002525,0.0002525,0.0002525
27,16.772,1.32976,1.11206,0.98015,0.01,1,0.88527,0.53403,1.29508,2.5611,1.06203,0.000252304,0.000252304,0.000252304
28,17.3685,1.30081,1.02475,0.97461,0.01,1,0.88527,0.53403,1.29508,2.5611,1.06203,0.000251316,0.000251316,0.000251316
29,17.9969,0.87679,0.94227,0.90286,0.01,1,0.81584,0.47826,1.34851,2.53641,1.09658,0.000249536,0.000249536,0.000249536
30,18.5867,1.15938,0.98319,1.09316,0.01,1,0.81584,0.47826,1.34851,2.53641,1.09658,0.000246964,0.000246964,0.000246964
31,19.2128,1.13417,0.86903,0.92933,0.01,1,0.923,0.55086,1.35226,2.50189,1.1037,0.0002436,0.0002436,0.0002436
32,19.82,1.03912,0.88985,0.95556,0.01,1,0.923,0.55086,1.35226,2.50189,1.1037,0.000239444,0.000239444,0.000239444
33,20.461,1.12954,0.90652,0.91362,0.01,1,0.93823,0.60271,1.26692,2.4697,1.06363,0.000234496,0.000234496,0.000234496
34,21.0648,1.09512,0.91648,0.92072,0.01,1,0.93823,0.60271,1.26692,2.4697,1.06363,0.000228756,0.000228756,0.000228756
35,21.6928,1.14681,0.96252,0.90179,0.01,1,0.92387,0.61902,1.1812,2.41967,1.02888,0.000222224,0.000222224,0.000222224
36,22.3004,0.99523,0.80801,0.88325,0.01,1,0.92387,0.61902,1.1812,2.41967,1.02888,0.0002149,0.0002149,0.0002149
37,22.9274,1.11914,0.92442,0.97794,0.01,1,0.93291,0.63234,1.14048,2.34092,1.00628,0.000206784,0.000206784,0.000206784
38,23.5195,1.08048,0.82297,0.95934,0.01,1,0.93291,0.63234,1.14048,2.34092,1.00628,0.000197876,0.000197876,0.000197876
39,24.14,0.83216,0.81032,0.90932,0.01,1,0.971,0.67045,1.13347,2.27731,1.00519,0.000188176,0.000188176,0.000188176
40,24.7331,0.70664,0.71302,0.81829,0.01,1,0.971,0.67045,1.13347,2.27731,1.00519,0.000177684,0.000177684,0.000177684
