epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,270.702,1.3215,1.1302,1.38305,0.98891,0.36585,0.46238,0.27934,1.41177,1.35784,1.43915,0.00046345,0.00046345,0.00046345
67,274.206,1.40194,1.24239,1.56808,0.98891,0.36585,0.46238,0.27934,1.41177,1.35784,1.43915,0.000457512,0.000457512,0.000457512
68,278.086,1.18048,1.11684,1.34334,0.98891,0.36585,0.46238,0.27934,1.41177,1.35784,1.43915,0.000451178,0.000451178,0.000451178
69,281.856,1.34444,1.36979,1.59789,0.72185,0.41463,0.44651,0.26718,1.28657,1.92019,1.32572,0.000444448,0.000444448,0.000444448
70,285.396,1.29372,1.11929,1.37007,0.72185,0.41463,0.44651,0.26718,1.28657,1.92019,1.32572,0.000437322,0.000437322,0.000437322
71,289.063,1.3427,1.36691,1.70653,0.72185,0.41463,0.44651,0.26718,1.28657,1.92019,1.32572,0.0004298,0.0004298,0.0004298
72,293.954,1.51074,1.29695,1.63936,0.74422,0.42605,0.44184,0.27928,1.30153,2.47747,1.35046,0.000421882,0.000421882,0.000421882
73,297.591,1.09506,1.23409,1.36108,0.74422,0.42605,0.44184,0.27928,1.30153,2.47747,1.35046,0.000413568,0.000413568,0.000413568
74,301.146,1.26179,1.05682,1.26884,0.74422,0.42605,0.44184,0.27928,1.30153,2.47747,1.35046,0.000404858,0.000404858,0.000404858
75,305.162,1.29199,1.41113,1.50624,0.86794,0.39024,0.47142,0.29267,1.27608,2.00594,1.31553,0.000395752,0.000395752,0.000395752
76,309.425,1.30551,1.35197,1.61768,0.86794,0.39024,0.47142,0.29267,1.27608,2.00594,1.31553,0.00038625,0.00038625,0.00038625
77,314.662,1.16337,1.27646,1.19149,0.86794,0.39024,0.47142,0.29267,1.27608,2.00594,1.31553,0.000376352,0.000376352,0.000376352
78,318.503,1.28812,1.16832,1.26781,0.83746,0.36585,0.45,0.30189,1.27113,1.47354,1.3223,0.000366058,0.000366058,0.000366058
79,322.448,0.9686,0.9614,1.20463,0.83746,0.36585,0.45,0.30189,1.27113,1.47354,1.3223,0.000355368,0.000355368,0.000355368
80,325.748,1.06974,0.93713,1.31674,0.83746,0.36585,0.45,0.30189,1.27113,1.47354,1.3223,0.000344282,0.000344282,0.000344282
81,329.11,1.59266,1.38714,1.43206,0.78093,0.36585,0.42949,0.27557,1.31235,1.30223,1.31444,0.0003328,0.0003328,0.0003328
82,332.657,1.18276,1.06246,1.29926,0.78093,0.36585,0.42949,0.27557,1.31235,1.30223,1.31444,0.000320922,0.000320922,0.000320922
83,335.764,1.32172,1.0478,1.19063,0.78093,0.36585,0.42949,0.27557,1.31235,1.30223,1.31444,0.000308648,0.000308648,0.000308648
84,339.44,1.15506,1.08041,1.35417,0.74139,0.34989,0.43799,0.27453,1.36168,1.43133,1.34825,0.000295978,0.000295978,0.000295978
85,344.187,1.32165,1.05061,1.24671,0.74139,0.34989,0.43799,0.27453,1.36168,1.43133,1.34825,0.000282912,0.000282912,0.000282912
86,347.841,1.27969,1.02552,1.24535,0.74139,0.34989,0.43799,0.27453,1.36168,1.43133,1.34825,0.00026945,0.00026945,0.00026945
87,351.183,1.3217,0.9661,1.15304,0.74139,0.34989,0.43799,0.27453,1.36168,1.43133,1.34825,0.000255592,0.000255592,0.000255592
88,354.275,1.2126,1.06213,1.66252,0.67454,0.4878,0.4924,0.297,1.34114,1.41052,1.34627,0.000241338,0.000241338,0.000241338
89,357.538,1.49129,1.1087,1.43574,0.67454,0.4878,0.4924,0.297,1.34114,1.41052,1.34627,0.000226688,0.000226688,0.000226688
90,361.332,1.35739,1.11231,1.35565,0.67454,0.4878,0.4924,0.297,1.34114,1.41052,1.34627,0.000211642,0.000211642,0.000211642
91,364.118,1.27064,1.03716,1.19443,0.67454,0.4878,0.4924,0.297,1.34114,1.41052,1.34627,0.0001962,0.0001962,0.0001962
92,366.906,1.0223,0.89344,1.12422,1,0.44346,0.52553,0.31753,1.29682,1.3484,1.33623,0.000180362,0.000180362,0.000180362
93,370.195,1.17077,0.96785,1.21301,1,0.44346,0.52553,0.31753,1.29682,1.3484,1.33623,0.000164128,0.000164128,0.000164128
94,373.673,1.13843,0.99085,1.12248,1,0.44346,0.52553,0.31753,1.29682,1.3484,1.33623,0.000147498,0.000147498,0.000147498
95,376.669,1.14703,0.9371,1.18491,1,0.44346,0.52553,0.31753,1.29682,1.3484,1.33623,0.000130472,0.000130472,0.000130472
96,379.542,1.06639,0.99809,1.19556,1,0.43485,0.51683,0.32623,1.27399,1.29059,1.3329,0.00011305,0.00011305,0.00011305
97,382.768,0.98644,0.93458,1.14193,1,0.43485,0.51683,0.32623,1.27399,1.29059,1.3329,9.5232e-05,9.5232e-05,9.5232e-05
98,385.909,1.0281,0.81844,1.08574,1,0.43485,0.51683,0.32623,1.27399,1.29059,1.3329,7.7018e-05,7.7018e-05,7.7018e-05
99,389.371,1.18589,1.2236,1.23852,1,0.43485,0.51683,0.32623,1.27399,1.29059,1.3329,5.8408e-05,5.8408e-05,5.8408e-05
100,392.438,1.0947,0.94273,1.14966,0.96255,0.43902,0.52302,0.33391,1.26816,1.17898,1.32324,3.9402e-05,3.9402e-05,3.9402e-05
